14240177	2209863593	
14171061	5990860510	
19623187	6135301095	
14355287	5594897954	
21729014	4746305603	
16356305	5002230448	
54480442	5703871394	
14666440	4856202777	
16632524	5181944241	
13236022	5271524251	
20049809	5227844991	
26182650	5833965337	
12582082	5662860533	
61893009	4117877557	
28392431	2009438391	
18787874	4068935340	
17973925	3615135704	
43143505	3521733968	
19038596	4039907702	
64356098	3221828646	
50748606	3949496372	
15114859	4096075231	
56877613	2922834846	
10990292	3784359336	
61954847	3067106579	
67674737	4119095279	
14616430	3718142458	
65698643	3914492629	
14098757	4082467165	
58468930	3824123826	
15481755	2393064185	
33323849	3896378604	
14480433	4171675945	
16641039	4132229267	
16657483	4412250342	
40939593	5290941219	
17053116	5749359445	
39860972	2285364333	
15221710	2485677392	
44451746	3668833668	
37505611	5689472572	
67654514	5864868978	
18895807	5412585433	
18110520	6119101989	
16715739	4907506311	
27946955	5851486018	
28864634	3735678558	
73011920	5520686699	
