16729208	4906392030	Boston, Massachusetts
45482079	5892324882	Boston, MA
18590401	2734093889	Boston, MA
68288966	5398559699	Boston, Massachusetts
17171177	5719106808	Boston, MA
25166710	6102992933	Boston, MA
47186812	4792019683	Boston, MA
17302413	4485883624	Boston, MA
21890319	6243219060	Boston, MA
22021521	5427728391	Boston, MA
15205798	5400389849	Boston, MA
22283771	2931038196	Boston, MA
33294094	5425588060	Boston, MA
78138070	5148915767	Boston, MA
76154787	4156462592	Boston, MA
22153333	5828674908	Boston, MA
24644242	5625513396	Boston, Massachusetts
56888035	3629704609	Boston, Massachusetts
20450235	5354098652	Boston, MA
15994353	4916248212	Boston, MA
16203093	5236520067	
85331850	5834872815	Boston, MA
76550370	5652443184	Boston, MA
19665244	5716248617	Boston, MA
39588192	5650819346	Boston, MA
92148648	6200043233	Boston, MA
22872981	5376529505	Boston, MA
18336459	2893682579	Boston, MA
67980283	5597716295	Boston, MA
16258547	5458031730	Boston, MA
62456791	4560630111	Boston, MA
22708797	4314228436	Boston, MA
16914290	6306142461	Boston, MA
40900613	5879399571	Boston, MA
16554838	5799368187	Boston, MA
27671272	4386205643	Boston, MA
45750547	5754423229	Boston, MA
15080404	5422496066	Boston, MA
11148342	5549332527	Boston, MA
72966292	5607802702	Boston, MA
61086875	5834547765	Boston, MA
45227216	2170227742	Boston, MA
40377694	5486501314	
44834228	5606566358	Boston, MA
44972648	5126258288	Boston, MA
22552196	5750276099	Boston, MA
31196465	4605227888	Boston, Massachusetts
69214101	3726842139	Boston, MA
22814630	5796638090	Boston, MA
16953422	5717578242	Boston, MA
19669694	5422649105	Boston, MA
64627820	5393413063	Boston, MA
17442357	5659526047	Boston, MA
13903532	4975026889	Boston, MA
16525012	4562572291	Boston, MA
20776642	2882680502	Boston, MA
18229413	6237519471	Boston, Massachusetts
18885160	5501420258	Boston, MA
16001664	5755868673	Boston, MA
38558836	2125894105	Boston, MA
15870918	5532205879	Boston, Massachusetts
24521683	5524126199	Boston, MA
52833493	5619018221	Boston, MA
16264778	5043400647	Boston, MA
38416476	5559662152	Boston, MA
28575783	5199881802	Boston, MA
20197946	4034251480	Boston, MA
30371469	1543498894	Boston, MA
16015025	2335379517	Boston, MA
27277392	2287634450	Boston, MA
70662286	5768981035	Boston, MA
22590519	5733614283	Boston, MA
23738794	2661484235	Boston, MA
19413655	5686835089	Boston, MA
29246479	5057496004	Boston, MA
25836315	5811153316	Boston, MA
15744099	5363592459	Boston, MA
30214682	4969576999	Boston, MA
21380334	2823172457	Boston, MA
80362933	6407648902	Boston, MA
71057103	3724726635	Boston, MA
76501848	5636285603	Boston, MA
10029732	5261392466	Boston, MA
17842367	5841278780	Boston, MA
35799257	5659623372	Boston, MA
15876372	4373102940	Boston, MA
20537412	3171598754	Boston, MA
51659194	6053932079	Boston, MA
60703229	4709851683	Boston, MA
27968412	3986182077	Boston, MA
15221511	5826141348	Boston, MA
44057704	5591842881	Boston, MA
19023194	5697676364	Boston, MA
65529515	5741219567	Boston, Massachusetts
28169230	4791969123	Boston, MA
16321614	5825722969	Boston, MA
22956605	5545650790	Boston, MA
