18	CA	12096202	
18	CA	559985672	CA
18	CA	36743910	NJ
18	CA	2916305152	
18	CA	65448844	
18	CA	44196397	
18	CA	1094231148	CA
18	CA	19766751	CA
18	CA	13298072	
18	CA	34743251	CA
18	CA	3315623422	NY
18	CA	1951814173	NY
18	CA	14348157	
18	CA	46954727	
18	CA	515034648	
18	CA	17681505	
18	CA	481943972	
18	CA	3224616765	NY
18	CA	370871493	
18	CA	40104936	
18	CA	38	
18	CA	19113374	FL
18	CA	11666142	NY
18	CA	136220221	CA
18	CA	37238862	
18	CA	3070721	CA
18	CA	9273802	NY
18	CA	504897306	NY
18	CA	1236101	CA
18	CA	652193	CA
18	CA	16099291	NY
18	CA	8523072	CA
18	CA	13418072	
18	CA	193387870	CT
18	CA	131144091	
18	CA	1536791610	
18	CA	1979921	
18	CA	18248647	NY
18	CA	24230606	
18	CA	11340982	CA
18	CA	139162440	CA
18	CA	14231571	NY
18	CA	15822996	MA
18	CA	3108045010	CA
18	CA	1233663476	
13108492	CA	319238471	WA
13108492	CA	442499749	
13108492	CA	15234461	
13108492	CA	14717311	
13108492	CA	368070987	CA
13108492	CA	27921336	CA
13108492	CA	20696400	
13108492	CA	248881665	CA
13108492	CA	425805096	
13108492	CA	68830818	NY
13108492	CA	16204520	
13108492	CA	22234752	
13108492	CA	772326415	
13108492	CA	3105476184	
13108492	CA	55689677	CA
13108492	CA	3111019827	NV
13108492	CA	114441819	
13108492	CA	759718885	
13108492	CA	376135998	CA
13108492	CA	47865477	CA
13108492	CA	14283832	VA
13108492	CA	14615195	UT
13108492	CA	35875719	CA
13108492	CA	1729299907	CA
13108492	CA	70793917	
13108492	CA	18151987	CA
13108492	CA	293338829	
13108492	CA	2840655008	
13108492	CA	395988628	
13108492	CA	181130447	FL
13108492	CA	196006219	CA
13108492	CA	86972419	CA
13108492	CA	235157481	NV
13108492	CA	552436139	
13108492	CA	80132931	CA
13108492	CA	17936460	CA
13108492	CA	1684305145	CA
13108492	CA	824109636	
13108492	CA	38026874	NY
13108492	CA	18317058	CA
14016612	CA	2830104606	NC
14016612	CA	108429242	CA
14016612	CA	5568612	CT
14016612	CA	210000447	
14016612	CA	110319875	
14016612	CA	24832201	NC
14016612	CA	16242081	CA
14016612	CA	72632741	
14016612	CA	357908674	
14016612	CA	13418072	
14016612	CA	18991681	CA
14016612	CA	2178690324	OR
14016612	CA	316701228	
14016612	CA	22494516	OH
14016612	CA	21335124	NC
14016612	CA	312867608	CA
14016612	CA	30020556	NC
14016612	CA	78183672	
14016612	CA	241271737	NC
14016612	CA	26257166	CT
14016612	CA	21492157	
14016612	CA	445629296	
14016612	CA	455476614	
14016612	CA	10718052	CA
14016612	CA	19733910	OR
14016612	CA	17929114	GA
14016612	CA	234795062	
14016612	CA	61297162	
14016612	CA	5883422	
14016612	CA	58526833	CA
14016612	CA	285311730	CA
14016612	CA	10888562	CA
14016612	CA	10760422	
